"code","run_count","mn_dstn","imd","d_income","d_employment","d_education","d_health","d_crime","d_housing","d_enviroment","total_pop","perc_non_working_age","pop_density","perc_bme"
"E01000001",40,3.325,6.208,0.007,0.01,0.024,-1.654,-2.012,29.472,31.873,1296,0.493827160493827,9969.23,0.154948805460751
"E01000002",39,3.381,5.143,0.034,0.027,0.063,-1.115,-2.343,24.412,23.084,1156,0.498269896193772,5026.09,0.112813370473538
"E01000003",27,3.061,19.402,0.086,0.086,5.804,-0.102,-1.032,40.103,40.535,1350,0.437777777777778,22500,0.216196136701337
"E01000005",2,2.463,28.652,0.211,0.136,22.26,-0.121,-1.317,39.9,28.979,1121,0.382694023193577,5900,0.486294416243655
"E01000006",109,0.783,19.837,0.117,0.059,14.798,-0.359,-0.147,45.171,26.888,2040,0.36421568627451,13600,0.672930123311803
"E01000007",122,0.775,31.576,0.207,0.107,11.385,-0.027,0.846,50.42,25.995,2101,0.322227510709186,10505,0.684399712437096
"E01000008",54,1.08,37.596,0.265,0.151,25.506,0.25,0.353,45.413,30.233,1566,0.386334610472541,7830,0.685880829015544
"E01000009",96,0.618,32.844,0.187,0.109,15.713,0.454,0.895,48.119,28.601,1775,0.329577464788732,13653.85,0.761985335589397
"E01000010",264,1.089,32.437,0.169,0.073,11.762,-0.002,1.214,50.58,47.932,3195,0.30735524256651,9128.57,0.714084507042253
"E01000011",14,0.424,30.679,0.167,0.081,22.519,-0.137,0.526,52.948,39.857,1670,0.353892215568862,18555.56,0.788249694002448
"E01000012",22,0.809,34.714,0.239,0.096,19.774,-0.056,0.542,56.507,36.881,2023,0.390509144834404,14450,0.718569174118885
"E01000013",23,4.02,38.997,0.213,0.145,24.003,0.67,1.199,45.252,30.424,1747,0.405838580423583,8319.05,0.313855421686747
"E01000014",15,4.076,35.67,0.201,0.135,31.501,0.35,0.825,46.135,25.122,1669,0.374475733972439,4908.82,0.25
"E01000015",18,3.473,33.632,0.216,0.123,26.013,0.025,0.372,50.4,25.696,2372,0.3929173693086,8471.43,0.335118250780901
"E01000016",18,3.503,32.839,0.199,0.122,28.996,0.373,0.528,43.772,24.95,1750,0.392,8750,0.29505192425168
"E01000017",23,3.852,39.004,0.25,0.169,22.899,0.694,0.317,45.929,27.688,1516,0.405672823218997,9475,0.306148055207026
"E01000018",60,3.57,33.406,0.212,0.136,26.358,0.273,0.457,43.512,25.659,1791,0.3785594639866,10535.29,0.283656856606136
"E01000019",48,2.89,33.62,0.194,0.138,26.111,0.477,0.645,41.248,26.826,1498,0.417222963951936,8322.22,0.443496801705757
"E01000020",95,3.043,36.035,0.216,0.131,24.184,0.76,0.651,43.518,30.078,1947,0.391371340523883,10247.37,0.350054525627045
"E01000021",6,2.39,38.888,0.23,0.136,31.637,0.418,0.559,45.544,44.214,1682,0.377526753864447,9894.12,0.458518049398353
"E01000022",36,2.714,34.413,0.195,0.139,27.111,0.427,0.506,44.277,30.435,1372,0.400874635568513,10553.85,0.365296803652968
"E01000023",12,2.044,36.877,0.228,0.108,22.994,0.033,1.286,45.846,39.968,2791,0.367968470082408,13290.48,0.446043165467626
"E01000024",2,2.593,29.339,0.155,0.1,29.298,0.263,0.244,45.704,29.869,1535,0.424104234527687,11807.69,0.440868263473054
"E01000025",50,2.365,36.702,0.219,0.138,25.691,0.395,0.837,47.029,28.042,1637,0.379352474037874,10913.33,0.307644499689248
"E01000027",60,3.769,37.347,0.216,0.146,38.122,0.148,1.042,44.976,20.329,1858,0.426264800861141,1263.95,0.283206553540082
"E01000028",9,4.287,40.078,0.26,0.155,27.699,1.138,-0.111,48.625,16.282,1629,0.432166973603438,11635.71,0.420916720464816
"E01000029",14,3.989,22.503,0.113,0.075,17.349,-0.28,0.35,47.51,21.974,1737,0.490500863557858,6680.77,0.361423220973783
"E01000030",7,3.8,38.415,0.264,0.162,38.753,0.016,0.499,44.592,20.993,2155,0.431554524361949,7431.03,0.343080939947781
"E01000031",29,3.81,22.672,0.126,0.075,12.953,0.046,0.919,34.14,27.703,1716,0.404428904428904,2042.86,0.501546072974644
"E01000032",93,4.106,29.958,0.146,0.106,23.035,0.095,0.913,39.922,38.369,1755,0.417663817663818,4618.42,0.376918354818907
"E01000033",0,2.578,37.978,0.257,0.136,32.037,0.278,0.162,55.686,21.763,1520,0.440131578947368,10133.33,0.240264511388685
"E01000034",10,2.19,35.895,0.216,0.147,33.858,0.661,0.302,45.083,18.01,1502,0.430093209054594,2945.1,0.235457063711911
"E01000035",71,2.677,26.175,0.15,0.092,25.536,0.397,0.242,39.025,23.071,1799,0.397443023902168,4497.5,0.329192546583851
"E01000036",0,2.943,19.27,0.112,0.073,15.969,-0.185,0.386,31.724,27.612,1493,0.379102478231748,3554.76,0.420546932742055
"E01000037",37,1.462,17.988,0.096,0.101,20.288,-0.504,-0.067,29.715,19.057,1931,0.330916623511134,8395.65,0.165876777251185
"E01000038",34,1.97,19.646,0.127,0.079,18.702,-0.103,0.204,27.945,27.001,1446,0.428077455048409,6885.71,0.165169315825847
"E01000039",47,1.355,22.288,0.127,0.074,19.753,0.173,0.092,42.779,17.527,1657,0.420639710319855,1083.01,0.197754210854648
"E01000040",58,1.339,34.608,0.218,0.123,31.332,0.155,0.607,45.801,29.323,1711,0.409117475160725,10064.71,0.425748884639898
"E01000041",22,2.361,33.173,0.172,0.105,33.867,0.349,0.432,48.606,33.127,1755,0.421652421652422,11700,0.33115338882283
"E01000042",51,1.746,41.573,0.263,0.164,31.45,0.526,0.263,57.015,24.75,1986,0.389224572004028,8634.78,0.457494407158837
"E01000043",4,1.626,28.075,0.147,0.085,28.946,0.044,0.574,42.921,33.853,1516,0.390501319261214,5614.81,0.474226804123711
"E01000044",12,1.213,28.389,0.133,0.079,22.263,-0.41,1.077,42.638,44.13,1895,0.384696569920844,11147.06,0.565072302558398
"E01000045",37,2.301,35.688,0.188,0.125,24.013,0.279,1.214,44.514,35.245,1710,0.411695906432749,5700,0.409090909090909
"E01000046",4,2.677,29.763,0.17,0.111,28.185,0.222,-0.026,45.338,30.26,1963,0.415180845644422,12268.75,0.264193367060146
"E01000048",0,1.588,44.704,0.341,0.182,26.49,0.495,0.246,49.012,20.578,1757,0.428571428571429,29283.33,0.628715647784633
"E01000049",7,1.71,41.172,0.29,0.143,27.852,0.409,0.376,55.298,26.588,1923,0.441497659906396,9157.14,0.625274725274725
"E01000050",64,1.237,34.701,0.176,0.114,22.642,0.61,0.74,48.003,36.588,1933,0.433523021210554,13807.14,0.614689945815774
"E01000051",0,1.321,36.941,0.234,0.13,28.197,0.391,0.859,45.996,27.521,1144,0.390734265734266,16342.86,0.644006227296316
"E01000052",17,1.574,33.284,0.188,0.111,27.403,-0.153,0.335,51.774,38.532,2134,0.409559512652296,10670,0.535253227408143
"E01000053",0,4.328,40.044,0.229,0.126,27.703,0.701,1.217,49.479,26.503,1670,0.419161676646707,9277.78,0.394612794612795
"E01000054",62,3.47,29.788,0.18,0.096,26.697,0.198,0.514,42.507,31.481,1831,0.423812124522119,10770.59,0.287543655413271
"E01000055",59,3.095,30.898,0.211,0.114,27.143,0.126,0.047,43.185,29.369,1684,0.385391923990499,11226.67,0.30328396651642
"E01000056",68,3.835,35.903,0.197,0.144,25.304,0.455,0.485,51.736,23.506,1666,0.43577430972389,6941.67,0.32449494949495
"E01000057",3,3.067,32.887,0.196,0.118,31.462,0.097,0.644,43.725,30.046,1557,0.424534360950546,10380,0.350935828877005
"E01000058",21,3.645,31.763,0.199,0.117,25.845,0.147,0.358,46.251,27.809,2022,0.385756676557863,11233.33,0.400757166035695
"E01000059",85,4.081,32.331,0.176,0.129,28.14,0.136,0.414,45.241,32.699,1635,0.440978593272171,7785.71,0.264854614412137
"E01000060",60,3.278,36.154,0.202,0.129,25.54,0.282,1.109,48.53,24.729,1955,0.418925831202046,3554.55,0.340519624101714
"E01000061",18,3.296,46.283,0.303,0.186,39.776,1.013,0.145,49.627,15.967,1854,0.385652642934196,3039.34,0.355292792792793
"E01000062",2,3.338,26.669,0.143,0.088,30.73,-0.143,0.558,45.088,20.153,2228,0.413375224416517,10127.27,0.355532786885246
"E01000063",25,3.766,33.371,0.181,0.124,37.624,0.286,0.342,41.886,35.452,1793,0.422197434467373,9961.11,0.262962962962963
"E01000064",37,2.98,35.283,0.208,0.13,24.438,0.39,0.212,50.054,34.175,2107,0.426672994779307,10033.33,0.325937665081881
"E01000065",44,3.974,39.89,0.228,0.173,26.185,0.817,0.324,47.453,29.31,1692,0.430260047281324,7356.52,0.286866359447005
"E01000066",49,1.515,25.763,0.147,0.097,18.294,0.054,-0.273,50.656,17.916,2132,0.381332082551595,8883.33,0.523340248962656
"E01000067",125,1.161,20.973,0.132,0.066,15.99,-0.388,0.381,42.456,21.711,2149,0.37645416472778,11310.53,0.535804977145759
"E01000068",200,0.667,25.603,0.123,0.075,16.187,0.167,0.946,41.502,31.382,1523,0.323703217334209,4479.41,0.654088050314465
"E01000069",55,1.078,16.375,0.087,0.07,16.481,-0.626,0.032,31.781,28.36,1882,0.380977683315622,9410,0.540555870674986
"E01000070",100,0.691,21.038,0.11,0.077,14.434,-0.442,0.84,35.596,27.639,2154,0.394614670380687,5523.08,0.580253164556962
"E01000071",132,1.21,18.848,0.13,0.058,14.114,-0.261,-0.155,40.981,22.064,2541,0.384494293585203,9411.11,0.614735907678651
"E01000072",30,2.13,41.016,0.241,0.138,34.242,0.478,1.197,46.957,30.082,2112,0.421875,4061.54,0.33550979407333
"E01000073",73,2.216,38.757,0.209,0.135,35.14,0.57,1.346,43.442,23.636,1780,0.428651685393258,6357.14,0.292155651636813
"E01000074",0,2.5,35.044,0.234,0.128,32.398,0.461,0.005,47.408,22.806,1610,0.42360248447205,10062.5,0.27951499680919
"E01000075",10,2.895,36.999,0.196,0.118,36.347,0.136,1.057,44.869,39.815,1777,0.40686550365785,3417.31,0.269630484988453
"E01000076",112,2.511,36.246,0.208,0.148,36.193,0.097,0.287,49.87,27.02,2047,0.437225207620909,10773.68,0.356639839034205
"E01000077",14,2.907,41.032,0.251,0.159,33.494,0.725,0.487,44.143,35.02,1487,0.404169468728985,8747.06,0.328719723183391
"E01000078",102,3.411,35.033,0.228,0.128,33.668,0.035,0.467,44.311,33.091,1826,0.399780941949617,10144.44,0.309123649459784
"E01000079",18,3.941,34.522,0.227,0.141,24.526,0.045,0.253,48.007,29.325,1662,0.436221419975933,5361.29,0.309184993531695
"E01000080",1,3.223,33.185,0.19,0.146,26.379,0.445,0.145,45.385,24.492,1651,0.411871592973955,7178.26,0.307840616966581
"E01000081",11,3.751,30.608,0.162,0.116,30.952,0.225,0.192,43.718,32.758,1831,0.382850901146914,9636.84,0.316943127962085
"E01000082",7,3.847,27.895,0.158,0.113,31.053,-0.111,-0.221,43.176,30.006,1953,0.387096774193548,12206.25,0.289958407605466
"E01000083",43,3.178,34.377,0.196,0.134,27.072,0.361,0.434,44.245,35.395,1888,0.409957627118644,10488.89,0.321764705882353
"E01000084",18,4.263,39.815,0.229,0.141,36.839,0.338,1.309,43.432,28.534,1355,0.42140221402214,9033.33,0.295940959409594
"E01000085",0,4.103,35.154,0.189,0.124,36.259,-0.227,1.036,46.139,32.465,1829,0.441771459814106,12193.33,0.311990686845169
"E01000086",29,4.406,38.156,0.218,0.142,28.503,0.89,0.868,42.757,26.281,1383,0.391901663051338,9878.57,0.338225017470301
"E01000087",5,4.383,34.357,0.226,0.131,27.171,0.046,0.135,48.565,31.357,1447,0.402211472011057,3910.81,0.343773303504847
"E01000088",2,4.137,28.849,0.147,0.1,20.313,0.264,0.552,44.005,34.525,2060,0.447572815533981,8956.52,0.469912472647702
"E01000089",5,4.106,28.968,0.156,0.092,25.246,-0.154,0.189,47.254,40.955,1879,0.405534858967536,12526.67,0.40516206482593
"E01000090",0,4.3,28.317,0.169,0.091,22.024,-0.187,0.7,45.475,29.464,1683,0.401069518716578,858.67,0.489267676767677
"E01000091",0,2.658,42.183,0.256,0.175,32.562,0.324,0.994,48.266,23.563,2081,0.44738106679481,8324,0.501750291715286
"E01000092",21,2.311,33.768,0.215,0.106,18.788,-0.008,0.657,61.059,29.993,4485,0.394202898550725,1698.86,0.585265519820494
"E01000093",26,2.221,46.922,0.26,0.169,27.955,0.842,1.073,49.657,43.57,1719,0.384525887143688,5927.59,0.489334195216548
"E01000094",9,3.123,28.182,0.167,0.094,10.866,-0.036,0.524,64.961,20.692,2120,0.392452830188679,3533.33,0.657616892911011
"E01000095",29,3.533,32.254,0.196,0.095,22.314,-0.111,0.944,63.151,18.657,1871,0.412613575628006,817.03,0.489185750636132
"E01000096",17,2.57,40.926,0.259,0.135,34.307,0.008,1.284,48.317,29.982,1667,0.428314337132573,2778.33,0.562005277044855
"E01000097",3,3.685,38.009,0.223,0.131,32.926,0.808,0.468,47.096,28.566,1815,0.424242424242424,10083.33,0.313725490196078
"E01000098",27,3.376,39.405,0.239,0.159,31.389,0.443,0.911,43.482,28.673,1814,0.410143329658214,10077.78,0.391179839633448
"E01000099",127,3.756,29.266,0.174,0.105,25.037,0.214,0.008,47.111,26.795,2258,0.394596988485385,7283.87,0.296766743648961
"E01000100",38,4.077,31.83,0.16,0.117,29.622,0.106,0.634,42.938,38.207,1744,0.401949541284404,8304.76,0.298245614035088
"E01000101",5,3.858,40.463,0.254,0.154,28.988,0.464,0.832,43.29,37.223,1545,0.411650485436893,9656.25,0.294117647058823
"E01000102",11,3.485,42.631,0.275,0.175,23.976,0.684,0.762,44.376,33.8,1441,0.420541290770298,5764,0.292207792207792
"E01000103",26,3.353,32.894,0.18,0.113,26.208,0.427,0.58,50.872,20.068,1500,0.368,2142.86,0.40593471810089
"E01000104",18,3.15,34.672,0.222,0.134,31.664,0.276,0.131,50.107,18.066,1811,0.388183324130315,8231.82,0.363840539023021
"E01000105",14,3.76,44.149,0.246,0.165,36.132,0.932,1.039,47.24,25.589,2314,0.391097666378565,10518.18,0.326914044152184
"E01000106",39,3.441,43.523,0.275,0.167,27.219,0.636,0.786,51.428,26.265,2159,0.426123205187587,9813.64,0.380589430894309
"E01000107",0,2.574,28.332,0.151,0.095,29.324,0.579,-0.027,44.429,22.813,1719,0.440372309482257,3183.33,0.286914765906363
"E01000108",3,2.961,28.166,0.171,0.104,20.596,0.158,0.183,41.045,35.136,1750,0.403428571428571,7291.67,0.323491655969191
"E01000109",3,4.108,25.691,0.12,0.084,22.485,-0.199,0.891,39.755,34.149,1871,0.390700160342063,4923.68,0.393831553973903
"E01000110",3,3.477,17.741,0.112,0.078,12.848,-0.002,-0.312,32.872,20.544,1491,0.403755868544601,7847.37,0.445621468926554
"E01000111",27,3.762,28.903,0.174,0.111,20.878,0.187,0.313,44.339,26.789,1997,0.418627941912869,6656.67,0.389525368248772
"E01000112",13,4.041,24.743,0.129,0.065,18.969,-0.324,0.602,43.159,40.766,2058,0.356171039844509,7350,0.501336183858899
"E01000113",17,4.334,25.268,0.152,0.081,16.983,-0.122,0.708,42.208,26.945,1703,0.386376981796829,11353.33,0.506849315068493
"E01000114",8,3.636,23.288,0.119,0.074,19.124,-0.117,0.423,40.755,34.274,2290,0.394323144104804,8807.69,0.411483253588517
"E01000115",24,1.101,6.227,0.055,0.046,3.734,-1.526,-0.545,17.004,18.838,1375,0.44,5092.59,0.299865229110512
"E01000116",99,0.917,7.79,0.074,0.049,3.87,-1.412,-0.43,19.173,18.248,1737,0.45538284398388,6948,0.258440046565774
"E01000117",268,0.58,9.642,0.071,0.062,6.077,-1.141,-0.168,21.506,17.66,1842,0.433767643865364,5581.82,0.210005497526113
"E01000118",315,0.877,9.812,0.077,0.059,8.59,-1.679,-0.206,22.339,16.261,2134,0.41049671977507,7358.62,0.28047520661157
"E01000119",135,1.358,11.589,0.078,0.054,3.312,-1.884,0.627,23.519,21.949,1702,0.436545240893067,4255,0.366071428571429
"E01000120",36,1.383,5.902,0.061,0.036,4.436,-1.58,-0.568,18.977,14.872,1435,0.466202090592335,5740,0.333776595744681
"E01000121",35,1.329,36.203,0.262,0.194,22.583,0.261,0.336,37.522,13.339,1498,0.418558077436582,3942.11,0.352705410821643
"E01000122",96,1.754,10.152,0.071,0.055,2.257,-1.246,-0.622,30.659,21.817,1462,0.431600547195622,6091.67,0.360978925900748
"E01000123",96,2.06,11.048,0.075,0.049,8.519,-1.062,-0.684,34.632,15.659,1761,0.353776263486655,3322.64,0.314903846153846
"E01000124",17,2.426,23.589,0.166,0.128,14.674,-0.593,0.491,30.587,20.768,1696,0.352004716981132,6523.08,0.412091301665638
"E01000125",103,2.196,26.704,0.179,0.088,23.785,-0.615,0.586,45.911,20.582,3196,0.392991239048811,10309.68,0.605253688377114
"E01000126",3,3.498,33.625,0.243,0.152,13.21,-0.077,-0.164,51.181,24.433,2338,0.344739093242087,14612.5,0.612858464384829
"E01000127",21,2.8,27.543,0.193,0.129,21.348,-0.495,0.424,37.588,22.92,1546,0.365459249676585,7730,0.499667774086379
"E01000128",2,3.005,27.055,0.171,0.103,22.529,-0.346,0.957,34.708,27.146,1921,0.394065590838105,7684,0.510433386837881
"E01000129",11,2.663,31,0.214,0.11,23.973,-0.148,1.004,38.657,25.543,1812,0.38355408388521,10658.82,0.53030303030303
"E01000130",3,3.215,30.863,0.185,0.118,19.118,-0.331,0.839,43.475,35.288,1771,0.372670807453416,10417.65,0.512788521522146
"E01000131",83,3.398,20.904,0.116,0.067,10.9,-0.802,1.133,39.033,20.979,1819,0.387575590984057,5350,0.543189368770764
"E01000132",28,2.842,25.53,0.187,0.106,22.698,-0.464,0.309,35.397,25.837,1557,0.37058445728966,10380,0.481732070365359
"E01000133",2,3.262,30.774,0.188,0.159,24.516,-0.059,0.065,40.079,26.72,1674,0.397849462365591,10462.5,0.469081823860087
"E01000134",11,2.323,24.669,0.184,0.093,20.26,-0.579,-0.195,42.152,27.225,1743,0.36087205966724,10893.75,0.503063725490196
"E01000135",47,2.628,12.523,0.076,0.048,4.357,-1.087,0.385,25.516,33.536,1616,0.439975247524752,4896.97,0.366368286445013
"E01000136",1,1.957,8.96,0.037,0.02,0.946,-1.93,0.188,27.615,36.198,1559,0.452212957023733,2998.08,0.251305483028721
"E01000137",20,2.468,28.786,0.235,0.145,8.14,0.077,0.348,33.329,22.835,1756,0.41628701594533,14633.33,0.438403701561596
"E01000138",3,2.242,27.86,0.178,0.127,8.449,-0.547,1.066,35.73,31.895,1492,0.371983914209115,5738.46,0.417529330572809
"E01000139",38,2.473,12.388,0.082,0.041,4.481,-1.326,0.61,25.608,29.28,1532,0.360313315926893,4377.14,0.331700489853044
"E01000140",70,2.174,16.817,0.118,0.078,9.457,-0.914,-0.026,30.188,30.341,1836,0.326797385620915,12240,0.347026364193746
"E01000141",43,1.62,28.797,0.149,0.083,11.28,-0.736,1.518,35.668,52.22,2273,0.267487901451826,6143.24,0.464828897338403
"E01000142",125,1.813,16.669,0.126,0.077,8.856,-0.676,-0.373,30.865,28.68,2563,0.326960593055014,12815,0.439311213775724
"E01000143",3,1.928,31.342,0.239,0.153,16.558,-0.081,0.763,33.531,19.252,1467,0.349693251533742,8629.41,0.444139821795751
"E01000144",43,2.69,18.338,0.102,0.082,8.328,-0.906,0.717,31.107,29.17,1763,0.306296086216676,8815,0.401820546163849
"E01000145",3,2.749,14.626,0.088,0.072,4.679,-1.5,0.196,29.116,32.598,1652,0.457021791767555,7866.67,0.317073170731707
"E01000146",60,2.418,18.538,0.103,0.089,4.798,-1.542,0.638,34.561,29.849,1814,0.308710033076075,8638.1,0.393356643356643
"E01000147",80,3.593,12.786,0.078,0.04,9.893,-1.99,0.336,27.447,33.415,1876,0.375799573560768,9380,0.626297577854671
"E01000148",31,3.766,27.671,0.186,0.115,15.794,-0.042,0.009,43.166,29.844,2649,0.35673839184598,11517.39,0.604378003203417
"E01000150",12,3.135,15.583,0.106,0.056,9.297,-1.385,-0.033,33.726,33.545,2246,0.378895814781834,4882.61,0.584466019417476
"E01000151",0,3.946,38.897,0.332,0.191,18.815,-0.203,0.085,40.945,19.735,1747,0.394962793360046,12478.57,0.685563997662186
"E01000152",34,3.775,32.418,0.265,0.144,25.229,-0.552,0.049,44.269,16.001,1764,0.38718820861678,9800,0.632735685367264
"E01000153",8,3.573,41.649,0.276,0.173,36.066,-0.047,0.872,49.389,18.106,1867,0.396357793251205,10982.35,0.539260220635951
"E01000154",10,4.062,32.667,0.201,0.141,22.212,0.007,0.827,43.4,22.744,1345,0.411895910780669,10346.15,0.595588235294118
"E01000155",94,3.824,20.797,0.135,0.062,12.175,-1.303,-0.128,39.038,47.35,3602,0.301499167129373,12420.69,0.551595744680851
"E01000156",209,1.573,8.319,0.075,0.04,1.668,-0.991,-0.158,22.228,19.997,2097,0.369575584167859,11650,0.243733333333333
"E01000157",60,1.518,12.655,0.089,0.054,10.386,-1.084,-0.281,24.93,32.014,1600,0.32875,12307.69,0.247890979883193
"E01000158",156,2.481,19.721,0.13,0.087,10.783,-0.598,0.561,28.16,31.142,1588,0.388539042821159,5881.48,0.349659863945578
"E01000159",9,2.132,16.257,0.112,0.077,4.883,-1.287,0.561,32.939,17.393,1828,0.402078774617068,3730.61,0.276308384918402
"E01000160",142,2.537,12.121,0.07,0.047,7.531,-1.028,0.463,26.935,26.093,1978,0.29726996966633,6593.33,0.383309073265405
"E01000161",16,2.736,14.513,0.109,0.055,3.782,-0.524,0.612,27.508,20.014,2407,0.350228500207727,10029.17,0.382756727073037
"E01000162",74,2.878,18.504,0.117,0.098,9.943,-0.479,0.481,24.285,27.187,1683,0.402852049910873,9350,0.378361475922452
"E01000163",30,1.844,28.541,0.2,0.145,13.328,0.036,0.26,38.055,21.987,1709,0.305441778818022,8994.74,0.368421052631579
"E01000164",109,1.858,25.331,0.172,0.107,11.909,-0.666,0.841,36.044,28.698,1858,0.371367061356297,3378.18,0.385527876631079
"E01000165",73,2.304,13.258,0.099,0.05,5.196,-1.29,0.198,35.632,16.048,1892,0.339323467230444,9957.89,0.468313641245972
"E01000166",144,1.706,14.861,0.105,0.082,7.16,-0.922,0.276,28.957,13.626,1640,0.435365853658537,4432.43,0.259797724399494
"E01000167",33,1.888,28.35,0.199,0.125,22.649,0.166,0.516,33.883,18.27,1361,0.376193975018369,2268.33,0.2203519510329
"E01000168",208,1.244,6.975,0.05,0.035,3.41,-1.486,-0.095,21.872,21.5,1614,0.462205700123916,5206.45,0.246803069053708
"E01000169",95,1.461,13.226,0.086,0.063,4.871,-1.209,0.466,25.427,25.647,1602,0.413233458177278,6675,0.16510067114094
"E01000170",98,1.007,20.384,0.147,0.114,10.294,-0.625,0.536,22.502,25.376,1707,0.422378441710603,5690,0.244498777506112
"E01000171",52,1.369,24.261,0.196,0.105,12.3,-0.164,0.288,26.487,33.967,1999,0.350175087543772,6057.58,0.280692266089778
"E01000172",185,0.759,8.421,0.075,0.039,2.666,-1.613,-0.743,24.854,25.96,1707,0.442296426479203,3161.11,0.184257602862254
"E01000173",386,0.465,9.709,0.081,0.05,5.844,-1.13,-0.085,19.649,23.152,1790,0.418435754189944,4837.84,0.221640488656195
"E01000174",204,0.665,16.271,0.128,0.069,8.05,-0.672,-0.248,30.198,29.971,1875,0.397866666666667,9868.42,0.282986111111111
"E01000175",207,0.344,7.614,0.052,0.047,2.159,-1.45,0.185,22.205,15.768,1568,0.447704081632653,3136,0.215772870662461
"E01000176",46,3.554,30.549,0.233,0.136,19.609,-0.459,0.377,44.215,17.867,1651,0.410660205935796,7504.55,0.368257904525728
"E01000177",211,3.078,8.263,0.055,0.026,4.627,-1.826,0.031,22.96,29.925,1746,0.362542955326461,10270.59,0.208230958230958
"E01000178",154,2.55,8.055,0.058,0.045,1.098,-1.31,-0.15,22.904,23.749,1817,0.398458998348927,4326.19,0.211613623673925
"E01000179",72,3.377,8.467,0.064,0.036,2.024,-0.712,-0.087,24.92,19.606,1754,0.290193842645382,12528.57,0.234200743494424
"E01000180",55,3.007,14.555,0.13,0.073,4.839,-1.044,-0.257,29.565,19.421,1718,0.417927823050058,10105.88,0.294959551960174
"E01000181",196,2.508,8.204,0.058,0.039,0.31,-1.634,0.07,20.819,29.674,1746,0.348797250859107,12471.43,0.188778492109877
"E01000182",167,2.497,8.01,0.04,0.032,0.42,-1.738,-0.177,22.913,37.424,1919,0.336633663366337,8722.73,0.189237137788291
"E01000183",68,3.173,10.613,0.085,0.047,1.885,-0.676,-0.504,30.174,20.769,1502,0.458721704394141,6530.43,0.233536999321113
"E01000184",6,3.086,31.921,0.212,0.141,17.632,-0.186,0.303,43.284,35.661,1645,0.390273556231003,2384.06,0.430693069306931
"E01000185",53,3.106,25.824,0.239,0.128,12.502,-0.208,-0.438,32.704,19.475,1547,0.320620555914674,12891.67,0.51209398756047
"E01000186",57,1.938,5.195,0.044,0.035,3.442,-1.988,-0.699,19.417,18.927,1680,0.519047619047619,6720,0.297146401985112
"E01000187",49,2.309,13.015,0.118,0.063,7.661,-0.599,-0.561,27.997,14.508,1766,0.486409966024915,8027.27,0.306578153289077
"E01000188",37,1.956,8.028,0.032,0.036,2.684,-2.011,0.509,21.076,27.374,1581,0.480075901328273,495.61,0.312097812097812
"E01000189",3,1.068,24.526,0.149,0.091,25.611,-0.871,-0.444,38.504,43.589,1481,0.350438892640108,9256.25,0.588754134509372
"E01000190",78,1.135,10.149,0.091,0.056,5.319,-1.301,-0.437,25.601,16.24,1645,0.474164133738602,6580,0.305256491450285
"E01000191",62,1.539,6.834,0.055,0.048,1.76,-1.605,-0.547,22.059,18.833,1559,0.515715202052598,6236,0.35016393442623
"E01000192",20,1.701,15.472,0.105,0.066,6.778,-1.035,0.535,27.087,28.127,2022,0.433728981206726,7221.43,0.38
"E01000193",56,1.278,16.117,0.09,0.071,7.965,-1.393,0.546,28.912,33.122,1910,0.414659685863874,6366.67,0.385020479812756
"E01000194",51,1.714,19.392,0.114,0.078,5.706,-1.007,0.884,33.467,29.783,1839,0.397498640565525,5572.73,0.504268292682927
"E01000195",6,2.803,26.999,0.177,0.109,23.459,-0.58,0.143,47.051,19.966,2007,0.37767812655705,6271.88,0.457494407158837
"E01000196",59,4.494,12.284,0.093,0.068,5.839,-1.183,-0.675,29.058,22.92,2008,0.335159362549801,8032,0.357380688124306
"E01000197",30,4.183,12.516,0.086,0.056,1.749,-1.585,0.035,26.823,34.534,1889,0.350449973530969,6746.43,0.361748633879781
"E01000198",10,4.451,11.841,0.087,0.048,2.096,-1.852,-0.606,36.202,25.751,2065,0.443099273607748,6257.58,0.330692023243529
"E01000199",22,4.99,7.222,0.056,0.036,1.162,-2.149,-0.138,27.064,16.028,1636,0.525672371638142,4811.76,0.275200989486704
"E01000200",35,4.612,9.566,0.081,0.055,1.098,-1.812,0.008,23.179,19.86,1940,0.474226804123711,6928.57,0.304065040650407
"E01000201",26,4.253,7.184,0.041,0.034,0.774,-1.855,-0.066,20.134,32.502,1582,0.50126422250316,4056.41,0.335728282168517
"E01000202",21,4.163,6.735,0.053,0.031,1.508,-1.941,-0.497,25.128,23.038,1766,0.383918459796149,7678.26,0.283266704740148
"E01000203",15,3.835,15.523,0.114,0.072,5.763,-1.173,-0.564,36.786,24.962,1824,0.379385964912281,5883.87,0.437136204889406
"E01000204",70,4.973,10.063,0.068,0.046,3.121,-1.795,0.3,23.008,27.209,1737,0.413932066781808,5428.12,0.295138888888889
"E01000205",73,3.235,7.725,0.053,0.035,1.073,-1.993,0.215,22.867,23.489,1610,0.447204968944099,4236.84,0.220762155059133
"E01000206",9,1.596,9.118,0.013,0.012,1.793,-2.703,0.147,38.568,24.319,1538,0.484395318595579,1165.15,0.241751269035533
"E01000207",87,2.629,6.585,0.042,0.035,2.896,-2.053,-0.487,22.612,27.164,1572,0.457379134860051,4491.43,0.17435249526216
