"code","run_count","mn_dstn","imd","d_income","d_employment","d_education","d_health","d_crime","d_housing","d_enviroment","total_pop","perc_non_working_age","pop_density","perc_bme"
"E01013479",101,2.423,50.187,0.241,0.207,42.851,2.215,1.339,26.347,18.857,2201,0.164470695138573,2501.14,0.257985257985258
"E01013480",63,2.92,64.431,0.322,0.245,58.169,2.134,1.554,27.394,46.519,2289,0.283529925731761,6732.35,0.267317073170732
"E01013481",43,3.578,47.086,0.3,0.185,62.758,0.628,0.595,26.177,43.206,1935,0.396382428940569,8062.5,0.758620689655172
"E01013483",6,3.061,37.606,0.228,0.14,32.92,0.81,0.96,21.657,46.276,2107,0.346938775510204,10033.33,0.585181689476168
"E01013484",0,3.515,60.928,0.346,0.223,86.774,1.188,0.848,26.867,47.489,2006,0.419740777666999,10030,0.742842535787321
"E01013485",14,3.247,45.103,0.3,0.153,72.9,0.543,0.819,25.452,29.876,2069,0.392460125664572,15915.38,0.671027131782946
"E01013486",0,3.987,43.864,0.269,0.148,76.197,0.872,0.604,24.513,28.8,2176,0.404411764705882,8704,0.763972055888224
"E01013487",9,4.101,48.143,0.339,0.162,74.32,0.767,0.337,24.327,34.6,2470,0.392307692307692,8517.24,0.652617568766637
"E01013488",26,4.478,8.234,0.054,0.045,7.261,-0.363,-0.877,28.966,5.175,1620,0.47037037037037,3857.14,0.413947536788228
"E01013489",118,4.084,9.507,0.04,0.053,6.686,0.06,-0.668,30.598,4.214,1491,0.521797451374916,3823.08,0.307348242811502
"E01013490",96,4.136,12.4,0.094,0.069,9.079,0.003,-0.644,22.805,9.639,1564,0.459718670076726,2792.86,0.216962524654832
"E01013491",52,3.764,14.977,0.096,0.088,16.102,0.058,-0.893,16.025,22.123,1716,0.476689976689977,5362.5,0.479016786570743
"E01013492",88,4.844,12.202,0.082,0.073,9.053,0.17,-0.817,18.898,13.237,1543,0.456254050550875,3428.89,0.332915360501567
"E01013493",4,5.107,21.288,0.128,0.122,23.402,0.537,-0.606,23.444,8.629,1471,0.447994561522774,6395.65,0.411997363216875
"E01013494",34,5.353,26.264,0.183,0.12,32.987,0.479,-0.284,26.182,15.693,1879,0.436934539648749,2684.29,0.183333333333333
"E01013495",42,5.498,16.715,0.11,0.075,23.217,0.111,-0.479,20.967,20.088,1749,0.41852487135506,6031.03,0.291053227633069
"E01013496",13,8.16,50.423,0.333,0.231,54.044,1.233,0.626,29.185,7.58,1519,0.447004608294931,6329.17,0.108090614886731
"E01013497",13,6.421,36.988,0.254,0.161,50.119,0.769,0.58,16.083,22.38,1505,0.419269102990033,5016.67,0.15590345727332
"E01013498",87,7.878,20.089,0.113,0.088,25.957,0.47,0.447,17.912,13.065,1426,0.455820476858345,2910.2,0.0418956043956044
"E01013499",33,7.217,37.949,0.213,0.189,41.34,1.353,0.255,21.732,17.553,1472,0.455163043478261,2374.19,0.0679190751445087
"E01013500",39,7.529,20.013,0.113,0.096,33.047,0.32,-0.387,17.221,20.964,1663,0.487672880336741,5543.33,0.0745562130177515
"E01013501",43,7.286,22.09,0.099,0.108,25.682,0.893,0.253,9.649,22.932,1355,0.471586715867159,4516.67,0.0471428571428572
"E01013502",43,6.908,32.491,0.195,0.155,34.419,1.103,0.413,13.746,23.242,1402,0.444365192582026,4673.33,0.0748775367389783
"E01013503",5,6.703,21.727,0.109,0.089,33.931,0.403,0.22,9.325,34.513,1505,0.413953488372093,4703.12,0.0865573770491803
"E01013504",6,6.436,36.867,0.229,0.132,66.238,0.313,0.741,18.573,32.017,1970,0.416243654822335,5794.12,0.14173640167364
"E01013505",57,4.778,15.828,0.075,0.068,28.629,0.172,-0.577,7.441,34.735,1397,0.403006442376521,6073.91,0.0338196286472149
"E01013506",24,5.15,17.641,0.121,0.105,22.54,0.242,-0.49,14.251,9.584,1575,0.504126984126984,2669.49,0.032035175879397
"E01013507",82,4.682,16.19,0.075,0.086,17.942,0.516,-0.421,12.914,25.584,1467,0.447852760736196,3334.09,0.0392927308447937
"E01013508",9,5.819,38.334,0.209,0.168,64.107,0.874,0.417,21.968,21.494,1261,0.425059476605868,3502.78,0.042823156225218
"E01013509",155,4.822,19.938,0.092,0.096,26.362,0.33,0.225,18.823,24.978,1603,0.434809731752963,3339.58,0.0346682606096832
"E01013510",6,5.875,35.409,0.226,0.169,47.336,1.257,-0.434,17.789,14.399,1542,0.443579766536965,6168,0.043449637919684
"E01013511",53,5.659,11.163,0.048,0.062,23.579,-0.069,0.153,5.532,12.252,1535,0.511400651465798,3488.64,0.0403587443946188
"E01013512",4,5.64,33.323,0.22,0.166,45.894,0.89,-0.558,18.038,20.989,1479,0.42393509127789,1781.93,0.0689189189189189
"E01013513",50,5.028,30.608,0.173,0.143,59.305,0.679,-0.425,14.868,20.835,1396,0.45487106017192,5170.37,0.031733746130031
